Island,Full Name,Local Name,Page Title,Hours of Operation,Service Times,Cost of Admission,Year Founded,Current Use,Denomination,Church Code,Longitude Coordinate,Latitude Coordinate,Intro sentence,History Blurb,Exterior blurb,Bell tower blurb,Floors blurb,Google Map Image,Floor Plan Image,Facade Image,Artifact Group
Castello,Chiesa della Ca' di Dio,Ca' di Dio,Church of Ca' di Dio,Not Applicable,None,Not Applicable,1272,Closed to the Public,Catholic,CADI,12.348971,45.433755,"The Chiesa della Ca' di Dio, or Ca' di Dio as it is locally known, was founded in the year 1272 and is a Catholic church.",,The façade in place today can be seen in the image located at the top of the page.,There is no bell tower associated with this church.,"The image below depicts the floor plan of Ca' di Dio, including the location of the [[Church Floor Artifacts]].",,,CADI.JPG,
Castello,Chiesa di S. Elena,Sant'Elena,Church of Sant'Elena,"M-F 10AM - 12 PM, 3:30 PM - 6 PM","M-F 6:30 PM; Su 10 AM, 11:15 AM",Free,1250,Active Church,Catholic,ELEN,12.365374,45.427108,"The Chiesa di S. Elena, or Sant'Elena as it is locally known, was founded in the year 1250 and is a Catholic church.","There is some discrepancy as to whether Santa Elena was founded in the 11th or 12th century, but it is known that the body of Saint Helena was brought to Venice in the 13th century and housed in this church. In the 15th century, a monastery for Benedictine monks was constructed next to the church in the 15th century. The church was reconstructed in the 16th century, before being closed by Napoleon in 1807. Following the French’s departure, the church was used as barracks, a bakery, and an iron foundry before being restored in 1915. The façade was built in the unique Venetian Gothic style. Other churches in the city with a similar design include the [[Church of Santa Aponal]] in [[San Polo]].",The façade in place today can be seen in the image located at the top of the page.,The bell tower associated with this church is [[Bell Tower - Sant'Elena]]. Please click the link to learn more!,"The image below depicts the floor plan of Sant'Elena, including the location of the [[Church Floor Artifacts]].",ELEN_GM.JPG,ELEN_FP.JPG,ELEN.JPG,
Castello,Chiesa di S. Maria della Consolazione,La Fava,Church of La Fava,"M-F 8 AM - 11:30 AM, 4:30 PM - 7:30 PM","M-F 9 AM, 7 PM; Sa 7 PM; Su 9 AM, 10:30 AM, 5:15 PM",Free,1400,Active Church,Catholic,FAVA,12.338003,45.437064,"The Chiesa di S. Maria della Consolazione, or La Fava as it is locally known, was founded in the year 1400 and is a Catholic church.","This church was first founded in the 15th century as a small chapel. In the 18th century the church was enlarged and rebuild by the Oratorians. The construction took several years and the façade was never completed. At the beginning of the 20th century, the church was given to the Redemptorist Fathers.",The façade in place today can be seen in the image located at the top of the page.,The bell tower associated with this church is [[Bell Tower - La Fava]]. Please click the link to learn more!,"The image below depicts the floor plan of La Fava, including the location of the [[Church Floor Artifacts]].",FAVA_GM.JPG,FAVA_FP.JPG,FAVA.JPG,FAVA Artifacts
Castello,Chiesa di S. Maria Formosa,Santa Maria Formosa,Church of Santa Maria Formosa,M-Sa 10 AM - 5 PM,"M-F 6 PM; Sa 6 PM; Su 10 AM, 11:30 AM","Chorus Pass for year: 10 €, 7 € students. 1 time, 3 €, 1.50 € students.",864,Active Church,Catholic,FORM,12.341047,45.437162,"The Chiesa di S. Maria Formosa, or Santa Maria Formosa as it is locally known, was founded in the year 864 and is a Catholic church.","Santa Maria Formosa was the first church in the city of Venice to be dedicated to the Virgin Mary in the 7th century. The church was rebuilt twice, once in the 11th century and again in the 15th century. Santa Maria Formosa has two facades, one facing the campo and another facing the canal, that were begun in the mid-16th century. The façades were not completed until the 1990s when [[Venice in Peril]] renovated both the interior and exterior.",The façade in place today can be seen in the image located at the top of the page.,The bell tower associated with this church is [[Bell Tower - Santa Maria Formosa]]. Please click the link to learn more!,"The image below depicts the floor plan of Santa Maria Formosa, including the location of the [[Church Floor Artifacts]].",FORM_GM.JPG,FORM_FP.JPG,FORM.JPG,
Castello,Chiesa di S. Gioacchino,San Gioacchino,Church of San Gioacchino,Not Applicable,None,Not Applicable,1418,Student Housing,Catholic,GIOA,12.356446,45.432767,"The Chiesa di S. Gioacchino, or San Gioacchino as it is locally known, was founded in the year 1418 and is a Catholic church.","The church was constructed in the 11th century to shelter pilgrims. A hospital, named the Hospice of St Peter and St Paul, was also constructed on the grounds and occupied by Franciscan nuns. The convent was nearly wiped out during the plague, but both the church and hospital were renovated in the 18th century and rededicated to Santa Maria. The church was suppressed under Napoleon and never reopened as a church. In the late 20th century, the church and hospital underwent considerable restoration to convert the hospital into a student resident hall and the church into an exhibition hall.",The façade in place today can be seen in the image located at the top of the page.,There is no bell tower associated with this church.,"The image below depicts the floor plan of San Gioacchino, including the location of the [[Church Floor Artifacts]].",GIOA_GM.JPG,,GIOA.JPG,
Castello,Chiesa dei Ss. Giovanni e Paolo,San Zanipolo,Church of San Zanipolo,M-Sa 9:30 AM - 6 PM; Su 1 PM - 6 PM,"M-F 8 AM, 6:30 PM; Sa 6:30 PM; Su 8:30 AM, 6:30 PM",2.5,1234,Active Church,Catholic,GIOV,12.34153,45.43959,"The Chiesa dei Ss. Giovanni e Paolo, or San Zanipolo as it is locally known, was founded in the year 1234 and is a Catholic church.","San Giovanni e Paolo is considered the great church of the Dominicans. The land for the church was presented to the order by Doge Jacopo Tiepolo in the 13th century and construction began. Upon completion the church was determined to be too small, so a reconstruction project began in the 14th century. San Giovanni e Paolo is often compared to the [[Church of I Frari]] in terms of size and significance to Venetian history as twenty five doges are entombed in this church. Interestingly, the church is named for two obscure saints by the names John and Paul, not the apostles as one may suspect. ",The façade in place today can be seen in the image located at the top of the page.,There is no bell tower associated with this church.,"The image below depicts the floor plan of San Zanipolo, including the location of the [[Church Floor Artifacts]].",GIOV_GM.JPG,GIOV_FP.JPG,GIOV.JPG,GIOV Artifacts
Castello,Chiesa di S. Giustina,Santa Giustina,Church of Santa Giustina,Not Applicable,None,Not Applicable,600,High School,Catholic,GIUS,12.345993,45.438268,"The Chiesa di S. Giustina, or Santa Giustina as it is locally known, was founded in the year 600 and is a Catholic church.","Santa Giustina is said to be one of the twelve churches founded by Saint Magnus in the 7th century, but records date the founding to the 12th century.  The church was rebuilt in the 16th century following the arrival of Augustinian nuns. The façade was later added in the 17th century. Both the church and convent were suppressed in 1810 by Napoleon and in the mid19th century the altar was moved to the [[Church of Sant’Aponal]] as the church was converted to a sailor’s school. ",The façade in place today can be seen in the image located at the top of the page.,There is no bell tower associated with this church.,"The image below depicts the floor plan of Santa Giustina, including the location of the [[Church Floor Artifacts]].",GIUS_GM.JPG,,GIUS.JPG,
Castello,Chiesa S. Giorgio dei Greci,I Greci,Church of I Greci,"M, W-Sa 9 AM - 1 PM, 3 PM - 5 PM",Unknown,Free,1431,Active Church,Greek Orthodox,GREC,12.344636,45.435571,"The Chiesa S. Giorgio dei Greci, or I Greci as it is locally known, was founded in the year 1431 and is a Greek Orthodox church.","In the late 15th century, this church was established by the then 4000 Greek Orthodox residents of Venice. Previously they occupied the [[Church of San Biagio]] until construction was completed on their own church. The church was built in the Renaissance style and has yet to sustain any major renovations or reconstruction. ",The façade in place today can be seen in the image located at the top of the page.,The bell tower associated with this church is [[Bell Tower - I Greci]]. Please click the link to learn more!,"The image below depicts the floor plan of I Greci, including the location of the [[Church Floor Artifacts]].",GREC_GM.JPG,GREC_FP.JPG,GREC.JPG,GREC Artifacts
Castello,Chiesa di S. Isepo,San Giuseppe,Church of San Giuseppe,M-F 10 AM - 12 PM,Unknown,Free,1512,Active Church,Catholic,ISEP,12.357167,45.430633,"The Chiesa di S. Isepo, or San Giuseppe as it is locally known, was founded in the year 1512 and is a Catholic church.","Santa Isepo was built in the 16th century by Augustinian nuns to found a convent. In the 19th century, Silesians replaced the Augustinians at the convent, and helped to save it from destruction by Napoleon. The façade cannot be classified as one particular style, but contains one intricate carving above the door.",The façade in place today can be seen in the image located at the top of the page.,The bell tower associated with this church is [[Bell Tower - San Giuseppe]]. Please click the link to learn more!,"The image below depicts the floor plan of San Giuseppe, including the location of the [[Church Floor Artifacts]].",ISEP_GM.JPG,ISEP_FP.JPG,ISEP.JPG,ISEP Artifacts
Castello,Chiesa di S. Lazzaro dei Mendicanti,I Mendicanti,Church of I Mendicanti,"Rarely, services only",Unknown,Free,1636,Active Church,Catholic,LAZZ,12.342468,45.4414,"The Chiesa di S. Lazzaro dei Mendicanti, or I Mendicanti as it is locally known, was founded in the year 1636 and is a Catholic church.","The church is named for Medicant Friars who founded the church along with a hospice in 1600. The church itself was not completed and consecrated until 1673. The hospice is now a city hospital, and access to the church is limited through the hospital.",The façade in place today can be seen in the image located at the top of the page.,The bell tower associated with this church is [[Bell Tower - I Mendicanti]]. Please click the link to learn more!,"The image below depicts the floor plan of I Mendicanti, including the location of the [[Church Floor Artifacts]].",LAZZ_GM.JPG,LAZZ_FP.JPG,LAZZ.JPG,LAZZ Artifacts
Castello,Chiesa di S. Lorenzo,San Lorenzo,Church of San Lorenzo,Not Applicable,None,Not Applicable,840,Closed to the Public,Catholic,LORE,12.345451,45.437492,"The Chiesa di S. Lorenzo, or San Lorenzo as it is locally known, was founded in the year 840 and is a Catholic church.","The church was originally founded in the 7th century and a Benedictine convent was added by Doge-to-be Orso Partecipazio in the 9th century. The latest rebuild of the church was completed at the beginning of the 17th century. Supposedly, Marco Polo was buried here, but during that reconstruction his casket was lost. The church and convent were suppressed in 1810 by Napoleon, but reopened by the Dominicans in 1842 and then returned to the city in 1865. After sustaining damage during World War One, the church began renovations to uncover the original floor of the church in the 1950’s. Workers hit water during their digging and unsure of how to complete the work, abandoned the project and left the church with a huge hole in the floor. Mexican archeologists have since reopened the project and are in the process of undoing the damage. ",The façade in place today can be seen in the image located at the top of the page.,There is no bell tower associated with this church.,"The image below depicts the floor plan of San Lorenzo, including the location of the [[Church Floor Artifacts]].",LORE_GM.JPG,,LORE.JPG,
Castello,Chiesa di S. Giovanni dei Cavalieri di Malta,San Giovanni di Malta,Church of San Giovanni di Malta,Not Applicable,None,Not Applicable,1312,Under Construction,Catholic,MALT,12.346229,45.436643,"The Chiesa di S. Giovanni dei Cavalieri di Malta, or San Giovanni di Malta as it is locally known, was founded in the year 1312 and is a Catholic church.","This church was built in the 12th century by the Knight Templar of Saint John. When the Knights Templar was dissolved in 1312, the church was passed to the Knights of Malta. The church was last rebuilt in the 16th century. The Church and monastery were suppressed by Napoleon in the early 19th century, but the church as reopened later in the century by the Knights of Jerusalem. When it was reopened, many pieces were brought from other suppressed churches to complete the nave, such as altars and sculptures.",The façade in place today can be seen in the image located at the top of the page.,There is no bell tower associated with this church.,"The image below depicts the floor plan of San Giovanni di Malta, including the location of the [[Church Floor Artifacts]].",MALT_GM.JPG,,MALT.JPG,
Castello,Chiesa delle Suore Mantellate,Suore Mantellate,Church of Suore Mantellate,Not Applicable,None,Not Applicable,,Convent,Catholic,MANT,12.362834,45.426414,"The Chiesa delle Suore Mantellate, or Suore Mantellate as it is locally known, was founded in the year  and is a Catholic church.",,The façade in place today can be seen in the image located at the top of the page.,The bell tower associated with this church is [[Bell Tower - Suore Mantellate]]. Please click the link to learn more!,"The image below depicts the floor plan of Suore Mantellate, including the location of the [[Church Floor Artifacts]].",MANT_GM.JPG,,,
Castello,Chiesa di S. Martino di Castello,San Martino,Church of San Martino,"M-Sa 8:45 Am - 11:45 AM, 4:30 PM - 7 PM; Su 8 AM - 12 PM","Sa 6:30 PM; Su 9:15 AM, 10:30 AM",Free,600,Active Church,Catholic,MART,12.348949,45.434662,"The Chiesa di S. Martino di Castello, or San Martino as it is locally known, was founded in the year 600 and is a Catholic church.","This church is said to have been founded in the 7th century in the name of Saint Martin of Tours. The church was rebuilt in the 12th century and again in the 16th century. This latest rebuild is seen today in the interior, while the façade was completed at the turn of the 20th century.",The façade in place today can be seen in the image located at the top of the page.,The bell tower associated with this church is [[Bell Tower - San Martino]]. Please click the link to learn more!,"The image below depicts the floor plan of San Martino, including the location of the [[Church Floor Artifacts]].",,MART_FP.JPG,MART.JPG,MART Artifacts
Castello,Chiesa S. Maria Assunta dei Derelitti,L'Ospedalletto,Church of L'Ospedalletto,Not Applicable,None,Not Applicable,1527,Hospital,Catholic,OSPE,12.342818,45.438842,"The Chiesa S. Maria Assunta dei Derelitti, or L'Ospedalletto as it is locally known, was founded in the year 1527 and is a Catholic church.","Founded in the 16th century, this church was nicknamed Ospedaletto, or small hospital, as it was one of the four Venetian hospitals. Renovations were slow to occur due to a lack of funds, but work was completed in the 17th century. In the 19th century, the hospital was converted to elderly housing.",The façade in place today can be seen in the image located at the top of the page.,There is no bell tower associated with this church.,"The image below depicts the floor plan of L'Ospedalletto, including the location of the [[Church Floor Artifacts]].",OSPE_GM.JPG,OSPE_FP.JPG,OSPE.JPG,OSPE Artifacts
Castello,Chiesa di S. Francesco di Paula,San Francesco di Paula,Church of San Francesco di Paula,"M-F 8 AM - 12 PM, 4 PM - 7 PM","Sa 6:30 PM; Su 8 AM, 10 AM, 6:30 PM",Free,1291,Active Church,Catholic,PAUL,12.354037,45.432958,"The Chiesa di S. Francesco di Paula, or San Francesco di Paula as it is locally known, was founded in the year 1291 and is a Catholic church.","This church was first established in the 9th century, and then later renovated and rededicated in the 11th and 13th centuries. In the 16th century, the Friars Minor took over the church and converted the grounds into a monastery and rebuilt the church in the design seen today. The monastery was taken over as a military barracks by Napoleon in 1806 and later demolished to erect a school in its place. ",The façade in place today can be seen in the image located at the top of the page.,The bell tower associated with this church is [[Bell Tower - San Francesco di Paula]]. Please click the link to learn more!,"The image below depicts the floor plan of San Francesco di Paula, including the location of the [[Church Floor Artifacts]].",PAUL_GM.JPG,PAUL_FP.JPG,PAUL.JPG,PAUL Artifacts
Castello,Chiesa di S. Maria del Pianto,Santa Maria del Pianto,Church of Santa Maria del Pianto,Not Applicable,None,Not Applicable,1649,Closed to the Public,Catholic,PIAN,12.345403,45.440155,"The Chiesa di S. Maria del Pianto, or Santa Maria del Pianto as it is locally known, was founded in the year 1649 and is a Catholic church.","The church was founded in in the mid-17th century, facing the Lagoon. The building is a rare octagonal shape was designed by architect Fancesco Contino. The church was suppressed in 1810. The monastery was converted in 1814 to a boys’ school and the church held various uses until being reconsecrated in 1851. The church and school are now owned by the nearby hospital and have fallen into disrepair.",The façade in place today can be seen in the image located at the top of the page.,There is no bell tower associated with this church.,"The image below depicts the floor plan of Santa Maria del Pianto, including the location of the [[Church Floor Artifacts]].",PIAN_GM.JPG,,PIAN.JPG,
Castello,Chiesa di S. Pietro Apostolo,San Pietro di Castello,Church of San Pietro di Castello,M-Sa 10 AM- 5 PM,W 5 PM; Th 5 PM; Sa 5 PM; Su 10 AM,"Chorus Pass for year: 10 €, 7 € students. 1 time, 3 €, 1.50 € students.",650,Active Church,Catholic,PIET,12.359779,45.434805,"The Chiesa di S. Pietro Apostolo, or San Pietro di Castello as it is locally known, was founded in the year 650 and is a Catholic church.","San Pietro is one of the twelve churches established by Saint Magnus in the 7th century. The church was enlarged in the 9th century and rededicated to St Peter. In the 15th century, St. Peter’s became the home of the Venetian patriarch.  The church underwent restoration in both the 12th and 16th centuries. The façade was not completed until the 17th century following Palladio’s death. The patriarch remained at St. Peter’s until napoleon invaded Venice in 1807 and this position was transferred to [[Basilica of San Marco]].  ",The façade in place today can be seen in the image located at the top of the page.,The bell tower associated with this church is [[Bell Tower - San Pietro di Castello]]. Please click the link to learn more!,"The image below depicts the floor plan of San Pietro di Castello, including the location of the [[Church Floor Artifacts]].",PIET_GM.JPG,PIET_FP.JPG,PIET.JPG,PIET Artifacts
Castello,Chiesa La Pietà S. Maria della Visitazione,La Pietà,Church of La Pietà,"Tu-Th 10 AM - 12 PM, 3 PM - 5PM; Sa-Su 10:15 AM - 1 PM, 2 PM - 5 PM",M-F 6:30 PM; Su 10:30 AM,Free,1348,Museum of Art,Catholic,PIVI,12.344963,45.434311,"The Chiesa La Pietà S. Maria della Visitazione, or La Pietà as it is locally known, was founded in the year 1348 and is a Catholic church.",This church is most famous as being the orphanage where Vivaldi taught and composed many of this known works.  Several renovation projects occurred on the church between the 14th and 16th centuries. The current building was constructed in the late 18th century and was designed more as a performance hall than a church nave to allow for better acoustics. The church façade was not complete until the beginning of the 20th century. The church now serves as a concert hall. ,The façade in place today can be seen in the image located at the top of the page.,The bell tower associated with this church is [[Bell Tower - La Pietà]]. Please click the link to learn more!,"The image below depicts the floor plan of La Pietà, including the location of the [[Church Floor Artifacts]].",PIVI_GM.JPG,PIVI_FP.JPG,PIVI.JPG,PIVI Artifacts
Castello,Chiesa di S. Giorgio degli Schiavoni,San Giorgio degli Schiavoni,Church of San Giorgio degli Schiavoni,"M 2:45 PM - 6 PM; Tu-Sa 9:15 AM - 1 PM, 2:45 PM - 6 PM; Su 9:15 AM - 2 PM",None,"5 € individual, group of 20 people 3 €",1451,School,Catholic,SCHI,12.345968,45.43621,"The Chiesa di S. Giorgio degli Schiavoni, or San Giorgio degli Schiavoni as it is locally known, was founded in the year 1451 and is a Catholic church.","The scuola was founded by Dalmatian immigrants called Schiavoni in the 15th century. The scuola received a relic of Saint Matthew at the beginning of the 16th century. After they received this, the order was inspired to restore the church and add commission to several paintings for the interior of the scuola. The scuola is still standing today and the paintings are still visible in both the lower and upper halls.",The façade in place today can be seen in the image located at the top of the page.,There is no bell tower associated with this church.,"The image below depicts the floor plan of San Giorgio degli Schiavoni, including the location of the [[Church Floor Artifacts]].",SCHI_GM.JPG,SCHI_FP.JPG,SCHI.JPG,
Castello,Chiesa di S. Leone IX pp.,San Lio,Church of San Lio,M-F 9 AM - 11:30 AM; Sa 3 PM - 4 PM,M-Sa 4:30,Free,1054,Active Church,Catholic,SLIO,12.33846,45.437617,"The Chiesa di S. Leone IX pp., or San Lio as it is locally known, was founded in the year 1054 and is a Catholic church.","A church was first constructed on these grounds in the 9th century and dedicated to Saint Catherine.  Later rebuilt in the 11th century, the church was rededicated to Pope Leo X, a strong supporter of Venice’s churches remaining independent. In the 16th century the church was rebuilt and then renovated in the 18th century to the current façade.  ",The façade in place today can be seen in the image located at the top of the page.,The bell tower associated with this church is [[Bell Tower - San Lio]]. Please click the link to learn more!,"The image below depicts the floor plan of San Lio, including the location of the [[Church Floor Artifacts]].",SLIO_GM.JPG,SLIO_FP.JPG,SLIO.JPG,SLIO Artifacts
Castello,Chiesa S. Francesco de la Vigna,La Vigna,Church of La Vigna,"M-F 8 AM - 12:30 PM, 3 PM - 7 PM",Unknown,Free,1253,Active Church,Catholic,VIGN,12.347661,45.438457,"The Chiesa S. Francesco de la Vigna, or La Vigna as it is locally known, was founded in the year 1253 and is a Catholic church.","The church was originally built by Franciscans in the 13th century on the site where Saint Mark was washed ashore by a storm on his return to the island. In the 16th century, reconstruction occurred at the request of Doge Andrea Gritti, but the design failed to be completed. Shortly thereafter, Palladio was commissioned to complete the façade, one of his first church commissions in Venice. In the 1990’s, [[Venice in Peril]] reattached the façade to the church.",The façade in place today can be seen in the image located at the top of the page.,The bell tower associated with this church is [[Bell Tower - La Vigna]]. Please click the link to learn more!,"The image below depicts the floor plan of La Vigna, including the location of the [[Church Floor Artifacts]].",VIGN_GM.JPG,VIGN_FP.JPG,VIGN.JPG,VIGN Artifacts
Castello,Chiesa di S. Zaccaria,San Zaccaria,Church of San Zaccaria,"M-F 10 AM - 12 PM, 4 PM - 6 PM; Su 4 PM - 6 PM","M-F 6 PM; Su 10 AM, 12 PM, 6:30 PM",Free,829,Active Church,Catholic,ZACC,12.343557,45.434724,"The Chiesa di S. Zaccaria, or San Zaccaria as it is locally known, was founded in the year 829 and is a Catholic church.","The church is said to be one founded by Saint Magnus in the 7th century, however several logs confirm one was erected by Doge Agnello Partecipazio in the 9th century dedicated to Saint Zacharias. The bones of St. Zacharias were given to Venice as a gift by the Byzantine Emperor while the church was being built. A convent for Benedictine nuns was also built at this time. The current church was built in the 15th century with a Gothic/Renaissance façade.  Saved from suppression during Napoleon’s rule of Venice, the convent took in many displaced nuns.   San Zaccaria has an expansive history with Doges, partly due to its proximity to the [[Basilica of San Marco]] and the [[Doge’s Palace]]. Three Doges were assassinated on the streets surrounding San Zaccaria, one was even killed on the steps leading to the church entrance. The convent was also forced to give their orchard to the Doge when the Piazza di San Marco was being planned, as it stood between the planned Basilica and the Lagoon. ",The façade in place today can be seen in the image located at the top of the page.,The bell tower associated with this church is [[Bell Tower - San Zaccaria]]. Please click the link to learn more!,"The image below depicts the floor plan of San Zaccaria, including the location of the [[Church Floor Artifacts]].",ZACC_GM.JPG,ZACC_FP.JPG,ZACC.JPG,ZACC Artifacts
Castello,Chiesa di S. Giovanni Novo,San Zaninovo,Church of San Zaninovo,Not Applicable,None,Not Applicable,968,Closed to the Public,Catholic,ZANI,12.341462,45.435737,"The Chiesa di S. Giovanni Novo, or San Zaninovo as it is locally known, was founded in the year 968 and is a Catholic church.","San Giovanni Novo was founded in the 10th century and later rebuilt in the 12th century, when the suffix –novo was added to the name. The church was again demolished and rebuilt in the 18th century, modeled after the [[Church of San Redentore]]. The façade remains unfinished, only having been built a few feet off the ground.",The façade in place today can be seen in the image located at the top of the page.,The bell tower associated with this church is [[Bell Tower - San Zaninovo]]. Please click the link to learn more!,"The image below depicts the floor plan of San Zaninovo, including the location of the [[Church Floor Artifacts]].",ZANI_GM.JPG,,ZANI.JPG,
Dorsoduro,Chiesa di Sant'Agnese,Sant'Agnese,Church of Sant'Agnese,Closed to Visitors,Unknown,Not Applicable,1081,Active Church,Catholic,AGNE,12.328113,45.429983,"The Chiesa di Sant'Agnese, or Sant'Agnese as it is locally known, was founded in the year 1081 and is a Catholic church.","Founded in the 11th century, this church was rebuilt in the 12th century following a fire. Restoration continued in the 18th century before it was suppressed by Napoleon in 1810. It was then used as a warehouse for wood and coal. At the end of the 19th century, the church underwent extensive restoration and reopened as an oratory for the Educational Institute of the Cavanis.",The façade in place today can be seen in the image located at the top of the page.,There is no bell tower associated with this church.,"The image below depicts the floor plan of Sant'Agnese, including the location of the [[Church Floor Artifacts]].",AGNE_GM.JPG,AGNE_FP.JPG,AGNE.JPG,AGNE Artifacts
Dorsoduro,Chiesa di S. Barnaba,San Barnaba,Church of San Barnaba,Closed to the Public,None,Not Applicable,1105,Active Church,Catholic,BARN,12.325297,45.433209,"The Chiesa di S. Barnaba, or San Barnaba as it is locally known, was founded in the year 1105 and is a Catholic church.","This church was established in the 9th century, and then rebuilt in the 14th century.  The current building dates back to the 18th century.  The façade is a Greek temple front with thick columns, similar to the nearby [[San Gesuati]].  The church is probably most well known for being featured in the movie Indiana Jones and the Last Crusade.  While it is not an archive as the movie would have us believe, it now serves as a Da Vinci museum.  ",The façade in place today can be seen in the image located at the top of the page.,The bell tower associated with this church is [[Bell Tower - San Barnaba]]. Please click the link to learn more!,"The image below depicts the floor plan of San Barnaba, including the location of the [[Church Floor Artifacts]].",BARN_GM.JPG,BARN_FP.JPG,BARN.JPG,BARN Artifacts
Dorsoduro,Chiesa di S. Maria de la Carità,La Carità,Church of La Carità,M 8:15 AM - 2 PM; T-Sa 8:15 AM - 7:15 PM,None,Unknown,1120,Gallery,Catholic,CARI,12.328583,45.431407,San Lio,"The church and convent were first founded here in the 12th century by Augustinian friars. The church was converted to a scuola and a new, larger church constructed in the 15th century.  A fire in the 17th century destroyed the convent, which was never rebuilt. The church was suppressed in the 18th century and converted to the Venetian Academy and the gallery was opened in 1817. The gallery contains many works of art and artifacts from other suppressed churches in the city. ",The façade in place today can be seen in the image located at the top of the page.,There is no bell tower associated with this church.,"The image below depicts the floor plan of La Carità, including the location of the [[Church Floor Artifacts]].",CARI_GM.JPG,,,
Dorsoduro,Chiesa di S. Maria Assunta del Carmelo,I Carmini,Church of I Carmini,M-F 12:30 PM - 7 PM,Unknown,Free,1348,Active Church,Catholic,CARM,12.322091,45.433754,"The Chiesa di S. Maria Assunta del Carmelo, or I Carmini as it is locally known, was founded in the year 1348 and is a Catholic church.",This church was founded by the Carmelite Fathers in the 13th century along with a monastery.  The church was rebuilt in the 16th century with a new façade facing the small campo as seen today in the Venetian-Renaissance style.  The façade was last restored in 2006 by [[Venice in Peril]]. ,The façade in place today can be seen in the image located at the top of the page.,The bell tower associated with this church is [[Bell Tower - I Carmini]]. Please click the link to learn more!,"The image below depicts the floor plan of I Carmini, including the location of the [[Church Floor Artifacts]].",CARM_GM.JPG,CARM_FP.JPG,CARM.JPG,CARM Artifacts
Dorsoduro,Chiesa di San Georgio,St. Georges Church,Church of St. Georges Church,Unknown,Su 10:30am,Free,1604,Active Church,Anglican,GEOR,12.330345,45.430827,"The Chiesa di San Georgio, or St. Georges Church as it is locally known, was founded in the year 1604 and is a Anglican church.",This church is one of the newest in the city of Venice as it was established at the beginning of the 20th century. It was built from the converted warehouse belonging to a Murano Glass company. It was constructed to establish a permanent English church in Venice.,The façade in place today can be seen in the image located at the top of the page.,There is no bell tower associated with this church.,"The image below depicts the floor plan of St. Georges Church, including the location of the [[Church Floor Artifacts]].",GEOR_GM.JPG,,GEOR.JPG,
Dorsoduro,Chiesa di S. Maria del Rosario,I Gesuati,Church of I Gesuati,"M-F 7:30am-7pm                Su 9-1, 5-7:30","M-F 8am, 6:30 pm       Sa 6:30pm    Su 10:30am, 12pm, 6:30pm","Chorus Pass for year: 10 €, 7 € students. 1 time, 3 €, 1.50 € students.",1493,Active Church,Catholic,GESU,12.327164,45.429404,"The Chiesa di S. Maria del Rosario, or I Gesuati as it is locally known, was founded in the year 1493 and is a Catholic church.","This church and monastery were established in the 14th century by monks from the Blessed Giovanni Colombino order. The order changed their name to the Poor Gesuati, and then rebuilt the church in the 15th century and rededicated it to their new name. In the 17th century, the Dominicans took over the church and monastery and then constructed a new church in its place, which still stands today. The façade is very ornate in that it includes several sculptures of the four virtues, modeled after the [[Church of Redentore]] across the Giudecca canal.",The façade in place today can be seen in the image located at the top of the page.,The bell tower associated with this church is [[Bell Tower - I Gesuati]]. Please click the link to learn more!,"The image below depicts the floor plan of I Gesuati, including the location of the [[Church Floor Artifacts]].",GESU_GM.JPG,GESU_FP.JPG,GESU.JPG,GESU Artifacts
Dorsoduro,Chiesa di S. Gregorio,San Gregorio,Church of San Gregorio,Not Applicable,None,Not Applicable,897,Art Studio,Catholic,GREG,12.33369,45.43079,"The Chiesa di S. Gregorio, or San Gregorio as it is locally known, was founded in the year 897 and is a Catholic church.","This church was founded in the 9th century, and then given to Benedictine monks who established a monastery there in the 12th century.  The church was then rebuilt in the 15th century and has remained largely unchanged since. The façade is a three-part Gothic style.  The church was suppressed by Napoleon in 1806 which was then converted into a metal refinery. It was later restored and converted to an art restoration laboratory in 1968, following the great flood of 1966. ",The façade in place today can be seen in the image located at the top of the page.,There is no bell tower associated with this church.,"The image below depicts the floor plan of San Gregorio, including the location of the [[Church Floor Artifacts]].",GREG_GM.JPG,,GREG.JPG,
Dorsoduro,Chiesa di S. Margherita,Santa Margherita,Church of Santa Margherita,Not Applicable,None,Not Applicable,853,Venice University Building,Catholic,MARG,12.324047,45.435309,"The Chiesa di S. Margherita, or Santa Margherita as it is locally known, was founded in the year 853 and is a Catholic church.","This church and convent were founded in the 15th century by Cistercian nuns who migrated from the island of [[Torcello]]. They brought with them many of the paintings that hung in the church before it was suppressed by Napoleon in 1806. The church was last rebuilt during the 16th century. The convent and church were converted to a school for girls in the 19th century, and then elderly housing. It is now part of the [[Universita Ca’Foscari]].",The façade in place today can be seen in the image located at the top of the page.,The bell tower associated with this church is [[Bell Tower - Santa Margherita]]. Please click the link to learn more!,"The image below depicts the floor plan of Santa Margherita, including the location of the [[Church Floor Artifacts]].",MARG_GM.JPG,,MARG.JPG,
